tamilnadu,south,north
606804,504296,133205
606805,504296,133205
606806,504296,133205
606806,504296,133206
606807,504296,133206
606808,504296,133206
606808,504297,133206
606811,504297,133206
606811,504297,133207
606901,504297,133301
606901,504297,133302
606901,504297,134003
606902,504297,134003
606902,504297,134007
606902,504297,134008
606903,504297,134008
606903,504299,134008
606904,504299,134008
606905,504299,134008
606905,504299,134101
606905,504299,134102
606906,504299,134102
606907,504299,134102
606907,504299,134103
606907,504299,134104
606907,504299,134107
606907,504299,134108
606907,504299,134109
606908,504299,134109
607001,504299,134109
607001,504299,134112
607002,504299,134112
607003,504299,134112
607003,504299,134113
607003,504299,134114
607003,504299,134116
607003,504301,134116
607004,504301,134116
607004,504302,134116
607004,504302,134117
607004,504302,134118
607005,504303,134118
607005,504304,134118
607006,504304,134118
607101,504304,134118
607101,504304,134201
607102,504304,134201
607102,504304,134202
607103,504304,134202
607103,504306,134202
607104,504306,134202
607105,504306,134202
607105,504306,134203
607105,504307,134203
607106,504307,134203
607107,504307,134203
607108,504307,134203
607109,504307,134203
607109,504308,134203
607112,504308,134203
607112,504308,134204
607201,504308,134204
607202,504308,134204
607203,504308,134204
607203,504309,134204
607203,504309,134205
607204,504309,134205
607205,504309,134205
607209,504309,134205
607209,504310,134205
607301,504310,134205
607301,504311,134205
607302,504311,134205
607303,504311,134205
607308,504311,134205
607401,504311,134205
607402,504311,134205
607402,504311,135001
607402,504311,135002
607402,504311,135003
607402,504312,135003
607403,504312,135003
607801,504312,135003
607802,504312,135003
607802,504313,135003
607803,504313,135003
607804,504313,135003
607805,504313,135003
607805,504313,135004
607807,504313,135004
608001,504313,135004
608002,504313,135004
608002,504313,135021
608002,504313,135101
608102,504313,135101
608102,504313,135102
608201,504313,135102
608201,504323,135102
608301,504323,135102
608302,504323,135102
608302,504323,135103
608302,504346,135103
608303,504346,135103
608304,504346,135103
608304,504346,135106
608305,504346,135106
608305,504346,135133
608306,504346,135133
608401,504346,135133
608401,505001,135133
608501,505001,135133
608501,505002,135133
608501,505101,135133
608502,505101,135133
608502,505102,135133
608601,505102,135133
608601,505122,135133
608602,505122,135133
608602,505129,135133
608602,505129,136020
608602,505129,136021
608602,505152,136021
608701,505152,136021
608701,505152,136026
608701,505152,136027
608701,505153,136027
608702,505153,136027
608702,505162,136027
608702,505172,136027
608703,505174,136027
608703,505174,136030
608703,505184,136030
608703,505184,136033
608704,505184,136033
608704,505184,136034
608801,505184,136034
608801,505184,136035
608901,505184,136035
608901,505185,136035
608901,505185,136038
608901,505185,136042
608901,505186,136042
609001,505186,136042
609001,505186,136043
609001,505187,136043
609003,505187,136043
609003,505187,136044
609003,505187,136117
609003,505188,136117
609003,505188,136118
609003,505208,136118
609101,505208,136118
609101,505208,136119
609101,505209,136119
609101,505210,136119
609101,505211,136119
609101,505212,136119
609101,505214,136119
609101,505215,136119
609101,505301,136119
609102,505301,136119
609103,505301,136119
609104,505301,136119
609104,505301,136128
609104,505302,136128
609105,505302,136128
609105,505303,136128
609105,505304,136128
609106,505304,136128
609106,505304,136129
609106,505305,136129
609107,505305,136129
609107,505305,136130
609107,505306,136130
609107,505306,136131
609108,505306,136131
609108,505307,136131
609108,505325,136131
609109,505325,136131
609109,505325,136132
609109,505326,136132
609109,505327,136132
609109,505330,136132
609110,505331,136132
609111,505331,136132
609111,505401,136132
609111,505402,136132
609112,505402,136132
609112,505402,136135
609113,505402,136135
609114,505402,136135
609115,505402,136135
609115,505403,136135
609116,505403,136135
609116,505404,136135
609117,505405,136135
609117,505405,136136
609117,505415,136136
609117,505415,136156
609118,505415,136156
609118,505416,136156
609201,505416,136156
609201,505416,140001
609202,505416,140001
609202,505425,140001
609203,505425,140001
609203,505445,140001
609203,505445,140101
609203,505450,140101
609203,505450,140102
609203,505451,140102
609203,505451,140103
609204,505451,140103
609204,505452,140103
609205,505452,140103
609205,505453,140103
609301,505453,140103
609301,505453,140108
609301,505454,140108
609302,505454,140108
609303,505454,140108
609304,505454,140108
609304,505455,140108
609304,505455,140109
609304,505460,140109
609305,505460,140109
609306,505460,140109
609306,505460,140110
609306,505462,140110
609307,505462,140110
609307,505462,140111
609307,505466,140111
609308,505466,140111
609309,505466,140111
609309,505467,140111
609310,505467,140111
609310,505467,140112
609311,505467,140112
609311,505468,140112
609311,505469,140112
609312,505469,140112
609312,505469,140113
609313,505469,140113
609314,505469,140113
609314,505470,140113
609401,505470,140113
609402,505471,140113
609403,505471,140113
609403,505471,140114
609403,505472,140114
609403,505472,140115
609403,505473,140115
609404,505473,140115
609404,505473,140116
609405,505474,140116
609405,505474,140117
609501,505474,140117
609501,505475,140117
609501,505476,140117
609501,505480,140117
609502,505480,140117
609502,505481,140117
609503,505481,140117
609503,505490,140117
609503,505497,140117
609503,505497,140118
609503,505498,140118
609503,505498,140119
609504,505498,140119
609601,505498,140119
609601,505501,140119
609601,505501,140123
609602,505501,140123
609603,505501,140123
609603,505502,140123
609603,505502,140124
609603,505502,140125
609603,505503,140125
609603,505503,140126
609603,505503,140133
609604,505503,140133
609604,505503,140201
609605,505503,140201
609605,505503,140301
609606,505503,140301
609606,505503,140306
609606,505504,140306
609607,505504,140307
609607,505505,140307
609608,505505,140307
609608,505505,140308
609608,505514,140308
609608,505514,140401
609608,505524,140401
609609,505524,140402
609609,505525,140402
609701,505525,140402
609702,505526,140402
609703,505526,140402
609703,505527,140402
609703,505528,140402
609703,505528,140405
609704,505528,140406
609704,505529,140406
609801,505529,140406
609801,505530,140406
609802,505530,140406
609803,505530,140406
609804,505530,140406
609804,505531,140406
609804,505531,140407
609804,505531,140408
609805,505531,140408
609806,505531,140408
609807,505531,140412
609807,505532,140412
609807,506001,140412
609807,506002,140412
609808,506002,140412
609808,506003,140412
609808,506003,140413
609808,506004,140413
609810,506005,140413
609811,506005,140413
609811,506005,140417
609811,506006,140417
610001,506006,140417
610003,506006,140417
610003,506007,140417
610003,506009,140417
610003,506011,140417
610003,506013,140417
610003,506015,140417
610004,506015,140417
610004,506015,140501
610004,506101,140501
610004,506102,140501
610101,506102,140501
610101,506102,140506
610101,506103,140506
610101,506103,140507
610101,506104,140507
610101,506104,140601
610101,506105,140601
610102,506105,140601
610102,506105,140602
610102,506112,140602
610103,506112,140602
610103,506122,140602
610103,506122,140603
610103,506122,140604
610103,506122,140701
610104,506122,140701
610104,506132,140701
610105,506132,140701
610105,506132,140702
610105,506134,140702
610105,506135,140702
610106,506135,140702
610106,506135,140802
610107,506135,140802
610107,506135,140901
610107,506135,141001
610107,506135,141002
610107,506135,141003
610109,506135,141004
610109,506135,141006
610109,506135,141007
610109,506142,141007
610201,506142,141007
610201,506143,141007
610201,506143,141008
610201,506144,141008
610202,506144,141008
610202,506145,141008
610202,506151,141008
610202,506151,141010
610202,506151,141012
610202,506151,141013
610202,506151,141014
610202,506151,141015
610203,506151,141015
610203,506163,141015
610203,506163,141016
610203,506163,141017
610203,506163,141101
610203,506163,141102
610203,506164,141103
610203,506164,141104
610203,506164,141105
610203,506165,141105
610203,506165,141106
610203,506165,141107
610204,506165,141107
610204,506165,141108
610204,506165,141109
610204,506165,141110
610204,506166,141110
610204,506166,141112
610204,506167,141112
610205,506167,141112
610205,506168,141112
610205,506169,141112
610205,506169,141113
610206,506169,141113
610206,506169,141114
610206,506170,141114
610207,506170,141114
610207,506172,141114
610207,506172,141115
610207,506175,141115
610207,506201,141115
611001,506201,141115
611002,506201,141115
611002,506221,141115
611002,506222,141115
611002,506222,141116
611003,506222,141116
611101,506222,141117
611101,506223,141117
611101,506223,141118
611101,506224,141119
611102,506224,141119
611102,506244,141119
611102,506244,141120
611103,506244,141120
611103,506244,141121
611103,506252,141121
611103,506301,141121
611103,506301,141122
611103,506301,141123
611103,506302,141123
